Date,Product_ID,Category,Region,Sales_Quantity,Sales_Revenue,Discount_Applied
2020-01-01,P014,Clothing,North,2,687.39,90.77
2020-01-01,P040,Toys,North,8,176.18,48.06
2020-01-01,P031,Toys,South,8,3031.23,386.62
2020-01-01,P046,Clothing,West,18,6996.43,1971.94
2020-01-01,P018,Toys,South,16,2666.2,456.28
2020-01-01,P049,Toys,North,8,3384.35,758.76
2020-01-01,P027,Groceries,West,13,971.85,233.88
2020-01-01,P026,Electronics,North,7,1502.09,177.94
2020-01-01,P033,Home & Kitchen,East,17,6070.94,1439.13
2020-01-01,P020,Home & Kitchen,North,10,1824.41,63.42
2020-01-02,P048,Toys,West,12,1168.23,312.81
2020-01-02,P029,Home & Kitchen,West,7,3177.16,259.38
2020-01-02,P032,Home & Kitchen,South,13,5603.8,11.69
2020-01-02,P030,Home & Kitchen,North,5,1738.78,140.53
2020-01-02,P021,Home & Kitchen,South,9,1844.09,35.9
2020-01-02,P028,Clothing,West,12,1555.59,232.05
2020-01-02,P002,Electronics,North,17,8480.99,678.77
2020-01-02,P047,Clothing,South,5,879.05,167.29
2020-01-02,P006,Clothing,North,12,2719.83,451.13
2020-01-02,P045,Toys,East,11,2067.77,150.22
2020-01-03,P014,Electronics,North,3,1055.03,267.98
2020-01-03,P039,Toys,West,1,322.81,8.15
2020-01-03,P017,Toys,South,8,2441.46,6.74
2020-01-03,P013,Electronics,East,18,1522.8,250.68
2020-01-03,P048,Home & Kitchen,West,9,828.75,4.49
2020-01-03,P015,Groceries,West,8,3402.92,671.34
2020-01-03,P040,Electronics,West,12,3082.36,588.42
2020-01-03,P045,Groceries,East,8,2539.31,605.48
2020-01-03,P028,Electronics,West,15,3731.94,218.59
2020-01-03,P002,Groceries,West,19,5474.7,1262.28
2020-01-04,P034,Clothing,East,4,1600.62,312.1
2020-01-04,P012,Toys,East,15,2863.7,80.74
2020-01-04,P005,Home & Kitchen,North,17,399.29,98.54
2020-01-04,P004,Home & Kitchen,West,5,1317.55,304.35
2020-01-04,P036,Toys,West,5,1156.73,292.2
2020-01-04,P016,Toys,South,15,5268.88,218.69
2020-01-04,P040,Groceries,South,10,1648.63,393.29
2020-01-04,P027,Home & Kitchen,West,5,481.23,11.68
2020-01-04,P013,Electronics,West,1,90.78,4.26
2020-01-04,P019,Clothing,West,16,1528.3,428.51
2020-01-05,P009,Electronics,North,19,7813.11,1467.16
2020-01-05,P015,Electronics,North,8,3625.19,212.93
2020-01-05,P011,Groceries,West,14,196.28,5.56
2020-01-05,P018,Home & Kitchen,East,17,5602.91,647.8
2020-01-05,P006,Clothing,South,2,268.09,39.89
2020-01-05,P032,Clothing,North,18,5693.88,1498.87
2020-01-05,P044,Toys,North,4,371.33,83.62
2020-01-05,P040,Home & Kitchen,North,3,627.74,70.06
2020-01-05,P017,Groceries,West,17,5805.89,1288.75
2020-01-05,P019,Home & Kitchen,North,17,4581.37,682.48
2020-01-06,P017,Clothing,East,2,90.54,2.3
2020-01-06,P015,Home & Kitchen,West,16,6916.06,1826.59
2020-01-06,P033,Electronics,East,7,3451.49,780.08
2020-01-06,P039,Toys,East,19,7404.07,1240.34
2020-01-06,P008,Home & Kitchen,South,19,1140.81,168.6
2020-01-06,P032,Groceries,South,8,505.4,98.43
2020-01-06,P006,Electronics,East,13,1593.35,191.31
2020-01-06,P018,Toys,North,1,115.68,33.43
2020-01-06,P001,Toys,North,13,342.73,91.63
2020-01-06,P049,Groceries,East,5,651.15,135.85
2020-01-07,P025,Home & Kitchen,North,5,90.26,10.19
2020-01-07,P038,Electronics,South,15,1191.85,212.43
2020-01-07,P019,Electronics,South,17,7139.54,1003.88
2020-01-07,P045,Home & Kitchen,East,1,11.77,0.27
2020-01-07,P036,Toys,North,5,2499.3,747.27
2020-01-07,P040,Groceries,East,5,1822.15,413.85
2020-01-07,P033,Home & Kitchen,North,14,1490.96,112.47
2020-01-07,P007,Groceries,North,4,472.71,95.26
2020-01-07,P048,Clothing,West,8,127.85,19.11
2020-01-07,P049,Home & Kitchen,East,18,7682.94,1272.08
2020-01-08,P003,Home & Kitchen,West,11,468.08,18.1
2020-01-08,P040,Home & Kitchen,South,16,5155.73,281.32
2020-01-08,P007,Electronics,East,3,780.13,227.75
2020-01-08,P013,Groceries,South,19,479.37,24.29
2020-01-08,P042,Toys,South,6,388.29,53.67
2020-01-08,P009,Clothing,South,2,137.46,13.61
2020-01-08,P032,Home & Kitchen,North,15,4737.16,116.19
2020-01-08,P036,Home & Kitchen,East,16,563.74,46.83
2020-01-08,P043,Electronics,West,17,5111.1,1512.26
2020-01-08,P016,Clothing,West,14,3275.37,734.47
2020-01-09,P011,Groceries,North,1,8.73,0.59
2020-01-09,P046,Toys,South,11,533.55,128.99
2020-01-09,P050,Electronics,East,3,793.9,97.74
2020-01-09,P016,Toys,West,6,1211.63,352.39
2020-01-09,P024,Toys,East,6,2925.95,430.77
2020-01-09,P049,Home & Kitchen,South,2,561.2,96.24
2020-01-09,P019,Home & Kitchen,North,12,1278.16,371.18
2020-01-09,P021,Toys,East,1,369.44,58.72
2020-01-09,P006,Electronics,South,14,2070.21,360.99
2020-01-09,P005,Home & Kitchen,East,4,654.87,116.67
2020-01-10,P042,Home & Kitchen,East,14,3694.84,397.75
2020-01-10,P046,Groceries,South,18,7365.9,970.39
2020-01-10,P007,Home & Kitchen,North,6,1633.15,214.96
2020-01-10,P016,Electronics,North,17,7654.92,881.6
2020-01-10,P028,Groceries,West,8,2511.98,88.09
2020-01-10,P043,Home & Kitchen,East,19,3244.79,135.57
2020-01-10,P004,Groceries,North,7,2020.97,604.89
2020-01-10,P032,Electronics,North,5,1951.97,83.81
2020-01-10,P027,Toys,South,2,764.83,201.17
2020-01-10,P030,Electronics,South,6,1623.35,184.49
2020-01-11,P007,Electronics,South,19,7021.26,1968.13
2020-01-11,P035,Home & Kitchen,East,1,61.05,18.04
2020-01-11,P003,Toys,South,1,435.6,67.8
2020-01-11,P039,Groceries,East,9,3360.63,207.26
2020-01-11,P017,Electronics,North,9,554.06,68.9
2020-01-11,P041,Clothing,East,6,1058.65,110.19
2020-01-11,P009,Clothing,East,17,5025.18,49.52
2020-01-11,P016,Home & Kitchen,East,7,608.5,6.18
2020-01-11,P034,Electronics,North,11,3497.68,13.74
2020-01-11,P033,Groceries,North,7,3415.25,470.27
2020-01-12,P009,Home & Kitchen,East,8,452.27,108.53
2020-01-12,P041,Home & Kitchen,East,1,280.58,60.67
2020-01-12,P043,Home & Kitchen,West,14,4250.16,1028.77
2020-01-12,P025,Toys,West,5,374.18,45.62
2020-01-12,P011,Clothing,East,10,473.27,29.52
2020-01-12,P005,Home & Kitchen,West,19,5578.51,705.28
2020-01-12,P012,Clothing,North,15,4713.85,474.97
2020-01-12,P050,Clothing,East,12,4994.09,517.18
2020-01-12,P035,Electronics,South,12,1363.89,398.75
2020-01-12,P024,Toys,West,17,7393.16,1081.1
2020-01-13,P013,Home & Kitchen,North,19,944.62,218.49
2020-01-13,P003,Groceries,North,11,1626.94,173.6
2020-01-13,P038,Electronics,East,7,2150.05,612.32
2020-01-13,P035,Groceries,West,1,138.61,22.45
2020-01-13,P015,Home & Kitchen,East,11,4663.69,1336.48
2020-01-13,P036,Home & Kitchen,South,9,3479.41,111.27
2020-01-13,P016,Electronics,West,17,3558.66,752.58
2020-01-13,P045,Clothing,North,7,298.11,6.95
2020-01-13,P001,Toys,West,19,2654.53,470.04
2020-01-13,P007,Home & Kitchen,North,12,4856.14,1401.63
2020-01-14,P039,Home & Kitchen,West,13,560.19,117.02
2020-01-14,P001,Clothing,East,12,3460.22,834.58
2020-01-14,P005,Toys,North,13,4092.61,1087.79
2020-01-14,P036,Clothing,West,2,34.16,8.92
2020-01-14,P044,Home & Kitchen,East,13,3468.71,977.21
2020-01-14,P045,Home & Kitchen,East,7,67.87,1.07
2020-01-14,P033,Electronics,North,12,3787.38,992.68
2020-01-14,P042,Electronics,South,7,1845.53,405.43
2020-01-14,P004,Electronics,East,13,2346.99,202.24
2020-01-14,P028,Toys,South,5,129.18,0.69
2020-01-15,P035,Clothing,South,17,1380.03,337.76
2020-01-15,P028,Groceries,West,15,333.87,89.64
2020-01-15,P040,Groceries,South,11,4832.77,385.08
2020-01-15,P031,Toys,North,9,242.7,62.05
2020-01-15,P023,Clothing,North,15,4940.17,816.4
2020-01-15,P047,Home & Kitchen,South,15,112.73,23.53
2020-01-15,P044,Clothing,South,6,2887.5,94.83
2020-01-15,P032,Toys,North,13,5542.52,823.31
2020-01-15,P033,Groceries,East,3,531.5,108.11
